concepto_final,n_variantes,tipo,pct_missing_unificado,uso_en_analisis
estado_respuesta,1,Categórica,0.0,Filtro de calidad (COMPLETED/PARTIAL)
id_respuesta,1,Texto libre,0.0,"Referencia de lote (no es llave, ver 4.3)"
medicion,1,Categórica,0.0,Variable de comparación temporal
periodo,1,Categórica,0.0,Variable de comparación temporal
region_proyecto,1,Texto libre,30.2,Variable de segmentación
rol_proyecto,2,Texto libre,0.0,Variable de segmentación
sector_empresa,2,Texto libre,30.2,Variable de segmentación
facilidad_resolucion,1,Numérica (escala 1-7),18.5,Variable explicativa (común a 3 olas)
precio_calidad,1,Numérica (escala 1-7),20.4,Variable explicativa (común a 3 olas)
recomendacion,1,Numérica (escala 1-7),4.2,Variable objetivo
amabilidad_del_equipo_tecnico,2,Numérica (escala 1-7),22.5,🔶 A definir
amabilidad_en_la_atencion_comercial,2,Numérica (escala 1-7),10.1,🔶 A definir
atributos_importantes,1,Texto libre,13.6,🔶 A definir
calidad_de_productos_entregados,1,Numérica (escala 1-7),60.9,🔶 A definir
calidad_del_despacho_de_los_equipos_ausencia_de_errores_de_envio_estado_del_material,3,Numérica (escala 1-7),16.2,🔶 A definir
calidad_del_servicio_de_diseno_de_proyectos,2,Numérica (escala 1-7),24.6,🔶 A definir
calidad_del_servicio_de_induccion_tecnica,2,Numérica (escala 1-7),23.4,🔶 A definir
calidad_del_servicio_de_ingenieria,2,Numérica (escala 1-7),24.6,🔶 A definir
calidad_del_servicio_de_visita_tecnica,2,Numérica (escala 1-7),25.8,🔶 A definir
claridad_de_la_informacion_en_cotizaciones,2,Numérica (escala 1-7),13.1,🔶 A definir
claridad_de_la_informacion_en_planos,1,Numérica (escala 1-7),75.9,🔶 A definir
claridad_del_informe_de_la_visita_tecnica,2,Numérica (escala 1-7),26.2,🔶 A definir
claridad_en_la_informacion_de_los_estados_de_pago,1,Numérica (escala 1-7),63.7,🔶 A definir
claridad_en_la_informacion_de_planos_e_informes_entregados,2,Numérica (escala 1-7),38.6,🔶 A definir
claridad_estados_pago,2,Numérica (escala 1-7),63.9,🔶 A definir
coincidencia_entre_el_producto_solicitado_y_el_producto_recibido,3,Numérica (escala 1-7),39.3,🔶 A definir
comentario_sugerencia,2,Texto libre,58.3,🔶 A definir
conoce_capscaff,2,Categórica (Sí/No),12.6,🔶 A definir
conoce_scanscaff,1,Categórica (Sí/No),60.9,🔶 A definir
conoce_webscaff,2,Categórica (Sí/No),12.6,🔶 A definir
conoce_xr_app,1,Categórica (Sí/No),60.9,🔶 A definir
disponibilidad_de_productos_y_accesorios,2,Numérica (escala 1-7),38.6,🔶 A definir
efectividad_del_control_de_calidad_aplicado_antes_del_despacho_del_material,1,Numérica (escala 1-7),78.2,🔶 A definir
efectividad_en_la_atencion_comercial,2,Numérica (escala 1-7),11.0,🔶 A definir
envio_presentacion_y_claridad_de_informes_de_material_danado,1,Numérica (escala 1-7),64.6,🔶 A definir
evaluacion_general_de_la_satisfaccion_con_la_atencion_comercial,1,Numérica (escala 1-7),76.8,🔶 A definir
evaluacion_general_de_los_procesos_operacionales,1,Numérica (escala 1-7),78.0,🔶 A definir
facilidad_para_coordinar_y_realizar_devolucion_de_equipos_en_arriendo,4,Numérica (escala 1-7),23.4,🔶 A definir
manejo_de_cobros_ante_productos_danados,1,Numérica (escala 1-7),82.0,🔶 A definir
mejora_webscaff,1,Texto libre,90.6,🔶 A definir
motivo_no_uso_capscaff,1,Texto libre,94.1,🔶 A definir
motivo_no_uso_scanscaff,1,Texto libre,95.6,🔶 A definir
motivo_no_uso_webscaff,1,Texto libre,92.7,🔶 A definir
motivo_no_uso_xr_app,1,Texto libre,97.9,🔶 A definir
newsletter,1,Categórica (Sí/No),17.1,🔶 A definir
palabras_marca,2,Texto libre,15.2,🔶 A definir
productos_de_scaff_co_en_general,3,Numérica (escala 1-7),12.9,🔶 A definir
quiere_contacto,1,Categórica (Sí/No),63.9,🔶 A definir
razon_recomendacion,1,Texto libre,17.6,🔶 A definir
satisfaccion_asesoria_general,1,Numérica (escala 1-7),60.4,🔶 A definir
satisfaccion_capscaff,2,Numérica (escala 1-7),85.2,🔶 A definir
satisfaccion_con_la_atencion_comercial_en_general,1,Numérica (escala 1-7),59.7,🔶 A definir
satisfaccion_logistica_general,1,Numérica (escala 1-7),59.3,🔶 A definir
satisfaccion_scanscaff,1,Numérica (escala 1-7),97.4,🔶 A definir
satisfaccion_webscaff,2,Numérica (escala 1-7),63.2,🔶 A definir
satisfaccion_xr_app,1,Numérica (escala 1-7),98.4,🔶 A definir
seguridad_de_sus_andamios,1,Numérica (escala 1-7),78.2,🔶 A definir
servicios_de_scaff_co_en_general,3,Numérica (escala 1-7),12.2,🔶 A definir
tiempo_de_respuesta_en_las_cotizaciones_solicitadas,2,Numérica (escala 1-7),12.6,🔶 A definir
ultima_interaccion,1,Categórica,54.6,🔶 A definir
uso_capscaff,1,Categórica (Sí/No),73.3,🔶 A definir
uso_scanscaff,1,Categórica (Sí/No),92.7,🔶 A definir
uso_webscaff,1,Categórica (Sí/No),47.3,🔶 A definir
uso_xr_app,1,Categórica (Sí/No),96.3,🔶 A definir
